timestamp,mode,temp,rh,co2,soil,sp_temp,sp_rh,sp_co2,temp_60s,rh_60s,co2_60s,humidifier_on,extractor_on,circulation_on,ssr_on,fan_pwm,humid_pwm,led_pwm
1765191445,auto,20.95,69.202,700.84514980917,4.22,25.0,60.0,800.0,20.95,69.202,700.84514980917,0,0,1,0,0,0,0
1765191446,auto,20.94666666666667,69.322,700.279604866419,3.5400000000000005,25.0,60.0,800.0,20.94666666666667,69.322,700.279604866419,0,0,1,0,0,0,0
1765191447,auto,20.94333333333333,69.458,699.2867234064934,2.8800000000000003,25.0,60.0,800.0,20.94333333333333,69.458,699.2867234064934,0,0,1,0,0,0,0
1765191448,auto,20.94,69.56800000000001,698.1117063845453,2.216666666666667,25.0,60.0,800.0,20.94,69.56800000000001,698.1117063845453,0,0,1,0,0,0,0
1765191449,auto,20.94,69.56800000000001,698.1117063845453,2.216666666666667,25.0,60.0,800.0,20.94,69.56800000000001,698.1117063845453,0,0,1,0,0,0,0
1765191450,auto,20.936666666666667,69.654,697.1481944691817,1.7466666666666668,25.0,60.0,800.0,20.936666666666667,69.654,697.1481944691817,0,0,1,0,0,0,0
1765191451,auto,20.933333333333334,69.724,696.5397361284272,1.4666666666666668,25.0,60.0,800.0,20.933333333333334,69.724,696.5397361284272,0,0,1,0,0,0,0
1765191452,auto,20.93,69.77799999999999,695.867815289899,1.3466666666666667,25.0,60.0,800.0,20.93,69.77799999999999,695.867815289899,0,0,1,0,0,0,0
1765191453,auto,20.93,69.77799999999999,695.867815289899,1.3466666666666667,25.0,60.0,800.0,20.93,69.77799999999999,695.867815289899,0,0,1,0,0,0,0
1765191454,auto,20.926666666666666,69.822,695.2594707029293,1.2133333333333334,25.0,60.0,800.0,20.926666666666666,69.822,695.2594707029293,0,0,1,0,0,0,0
1765191455,auto,20.923333333333336,69.856,695.0826294920505,1.07,25.0,60.0,800.0,20.923333333333336,69.856,695.0826294920505,0,0,1,0,0,0,0
1765191456,auto,20.916666666666668,69.884,695.4598406444353,0.9400000000000001,25.0,60.0,800.0,20.916666666666668,69.884,695.4598406444353,0,0,1,0,0,0,0
1765191457,auto,20.916666666666668,69.884,695.4598406444353,0.9400000000000001,25.0,60.0,800.0,20.916666666666668,69.884,695.4598406444353,0,0,1,0,0,0,0
1765191458,auto,20.916666666666668,69.884,695.4598406444353,0.9400000000000001,25.0,60.0,800.0,20.916666666666668,69.884,695.4598406444353,0,0,1,0,0,0,0
1765191459,auto,20.916666666666668,69.884,695.4598406444353,0.9400000000000001,25.0,60.0,800.0,20.916666666666668,69.884,695.4598406444353,0,0,1,0,0,0,0
1765191460,auto,20.903333333333332,69.95333333333333,697.5985999999998,0.56,25.0,60.0,800.0,20.903333333333332,69.95333333333333,697.5985999999998,0,0,1,0,0,0,0
1765191461,auto,20.903333333333332,69.95333333333333,697.5985999999998,0.56,25.0,60.0,800.0,20.903333333333332,69.95333333333333,697.5985999999998,0,0,1,0,0,0,0
1765191462,auto,20.9,69.9575,697.3320199999998,0.46,25.0,60.0,800.0,20.9,69.9575,697.3320199999998,0,0,1,0,0,0,0
1765191463,auto,20.896666666666665,69.962,697.0434139999999,0.37666666666666665,25.0,60.0,800.0,20.896666666666665,69.962,697.0434139999999,0,0,1,0,0,0,0
1765191464,auto,20.893333333333334,69.97,697.0573897999999,0.3333333333333333,25.0,60.0,800.0,20.893333333333334,69.97,697.0573897999999,0,0,1,0,0,0,0
1765191465,auto,20.893333333333334,69.97,697.0573897999999,0.3333333333333333,25.0,60.0,800.0,20.893333333333334,69.97,697.0573897999999,0,0,1,0,0,0,0
1765191466,auto,20.89,69.976,697.0641728599999,0.3433333333333333,25.0,60.0,800.0,20.89,69.976,697.0641728599999,0,0,1,0,0,0,0
1765191467,auto,20.89,69.982,696.8829210019999,0.41,25.0,60.0,800.0,20.89,69.982,696.8829210019999,0,0,1,0,0,0,0
1765191468,auto,20.886666666666667,69.986,696.6090447013999,0.51,25.0,60.0,800.0,20.886666666666667,69.986,696.6090447013999,0,0,1,0,0,0,0
1765191469,auto,20.886666666666667,69.986,696.6090447013999,0.51,25.0,60.0,800.0,20.886666666666667,69.986,696.6090447013999,0,0,1,0,0,0,0
1765191470,auto,20.883333333333333,69.988,696.3573312909798,0.64,25.0,60.0,800.0,20.883333333333333,69.988,696.3573312909798,0,0,1,0,0,0,0
1765191471,auto,20.876666666666665,69.99,696.1361319036859,0.77,25.0,60.0,800.0,20.876666666666665,69.99,696.1361319036859,0,0,1,0,0,0,0
1765191472,auto,20.873333333333335,69.99199999999999,696.24529233258,0.8933333333333334,25.0,60.0,800.0,20.873333333333335,69.99199999999999,696.24529233258,0,0,1,0,0,0,0
